,latitude,longitude,price,categories,otherneigbours,own_category,vietnameseneigbours,sushineigbours,pubsneigbours,pizzaneigbours,kebabneigbours,italianneigbours,icecreamneigbours,hotdogsneigbours,germanneigbours,divebarsneigbours,cocktailbarsneigbours,cafesneigbours,burgersneigbours,barsneigbours,bakeriesneigbours,distanceToMitte
0,52.503009999999996,13.307529999999998,1.0,vietnamese,559,22,22,16,7,14,5,73,9,581,26,6,13,581,8,53,27,7687
1,52.50035,13.30785,2.0,cocktailbars,435,13,16,16,7,11,3,47,3,448,16,3,13,448,1,49,25,9250
2,52.501808200000006,13.3129997,1.0,vietnamese,446,23,23,21,8,11,4,52,4,469,17,4,11,469,8,49,23,7025
3,52.498999999999995,13.3024,2.0,localflavor,328,1,9,9,6,9,0,44,3,329,16,7,14,329,0,43,13,6769
4,52.5058,13.302,2.0,hotdogs,406,12,20,10,6,13,6,45,11,418,20,4,7,418,7,37,17,7564
5,52.463934373949606,13.3308218792081,1.0,hookah_bars,115,2,2,8,2,6,2,11,4,117,4,3,1,117,2,11,12,8565
6,52.5019,13.312999999999999,2.0,greek,468,10,24,21,8,11,4,54,4,478,19,4,11,478,9,49,23,7527
7,52.439060063911896,13.3007526397705,2.0,german,2,0,0,0,0,0,0,1,0,2,0,1,0,2,0,1,0,6388
8,52.5003,13.3107,2.0,landmarks,410,15,17,19,8,10,2,49,3,425,17,2,11,425,4,49,22,6888
9,52.451130500000005,13.3219696,1.0,italian,43,5,1,1,1,3,2,5,2,48,2,0,1,48,1,3,2,7365
10,52.43999,13.315899900000002,2.0,pizza,16,0,2,0,0,0,1,1,0,16,1,2,0,16,0,3,0,9667
11,52.502340000000004,13.309070000000002,2.0,organic_stores,566,4,24,17,7,14,4,62,9,570,26,6,16,570,5,58,25,7835
12,52.472338,13.298767000000002,1.0,bakeries,8,3,0,0,0,1,0,0,0,11,1,1,0,11,0,1,3,9589
13,52.51878000000001,13.301429999999998,2.0,german,62,4,2,2,4,1,1,8,3,66,4,0,0,66,1,2,1,6762
14,52.5157,13.3044,1.0,cafes,87,4,4,3,5,1,2,12,5,91,7,0,0,91,2,4,3,7629
15,52.499686600000004,13.307533300000001,4.0,bars,324,50,13,14,7,9,1,37,3,374,15,3,16,374,0,50,23,7426
16,52.486679,13.326097,1.0,bakeries,89,10,4,3,2,4,2,9,0,99,3,3,1,99,2,7,10,8116
17,52.4758551,13.340102100000001,2.0,cafes,35,4,2,0,1,2,1,5,1,39,1,1,0,39,1,3,2,7060
18,52.472243999999996,13.307756,2.0,chinese,44,0,0,0,0,0,0,9,0,44,4,1,0,44,0,1,6,9227
19,52.45955455533979,13.323654646934099,2.0,sushi,113,5,0,5,4,3,3,12,8,118,0,2,1,118,1,8,10,7417
20,52.5031311080378,13.315446891645601,2.0,cocktailbars,449,5,25,18,8,12,4,54,4,454,17,2,5,454,9,36,24,6839
21,52.50069335211929,13.3246943138061,2.0,coffee,187,3,5,12,1,6,0,22,1,190,12,0,4,190,4,21,5,10411
22,52.5258529311215,13.3101611529755,1.0,chinese,14,1,0,0,1,0,0,0,0,15,0,0,1,15,0,2,1,6888
23,52.499669999999995,13.30764,1.0,foodstands,365,6,13,16,7,9,1,38,3,371,15,3,12,371,0,47,23,6809
24,52.4991,13.3187,2.0,thai,276,3,6,12,6,5,0,39,1,279,13,0,6,279,4,24,15,9058
25,52.4351,13.3133,2.0,serbocroatian,10,0,1,0,0,1,1,1,0,10,0,1,0,10,0,1,0,7236
26,52.508010899999995,13.307920499999998,2.0,seafood,395,4,24,8,6,10,6,47,8,399,17,3,8,399,9,31,18,7946
27,52.46191999999999,13.31874,3.0,greek,101,1,1,6,3,0,3,7,6,102,1,3,1,102,1,7,10,7779
28,52.49873,13.31533,1.0,sushi,329,16,11,16,6,10,1,44,3,345,17,2,9,345,3,35,21,6861
29,52.4914,13.3011,2.0,pizza,55,4,2,0,1,4,3,6,1,59,6,4,3,59,0,7,0,6737
30,52.4703,13.3399,1.0,bakeries,58,2,4,1,1,6,1,6,1,60,3,2,0,60,2,6,2,8002
31,52.467261,13.341739000000002,1.0,italian,52,5,3,0,0,6,3,5,2,57,4,1,0,57,3,4,5,7156
32,52.493,13.3314,1.0,currysausage,110,0,4,5,1,2,3,11,2,110,8,2,1,110,0,8,7,6908
33,52.482251,13.34259,2.0,pizza,19,0,1,1,0,0,0,1,0,19,2,0,0,19,0,0,2,6474
34,52.505995999999996,13.317107,2.0,seafood,301,2,18,7,3,6,4,33,2,303,15,3,4,303,6,24,11,7119
35,52.506588,13.294629,1.0,kebab,174,2,11,0,4,6,2,25,7,176,7,1,5,176,3,11,3,7239
36,52.438,13.306,2.0,divebars,10,0,1,0,0,1,1,2,0,10,2,0,0,10,0,0,0,8279
37,52.50445799999999,13.298896,2.0,indpak,372,4,21,9,5,13,6,41,9,376,17,2,7,376,3,31,17,8814
38,52.48955,13.31903,2.0,modern_european,103,1,4,2,2,4,5,7,0,104,3,3,1,104,2,6,9,6732
39,52.52556,13.31086,1.0,hotdogs,15,0,0,0,0,0,0,0,0,15,0,0,1,15,0,2,1,7437
40,52.5069299,13.30582,2.0,seafood,418,3,27,9,7,13,6,47,11,421,17,3,6,421,9,27,20,7310
41,52.4594650268555,13.319329261779801,2.0,divebars,99,1,1,6,5,2,3,11,7,100,1,1,1,100,1,5,7,9316
42,52.499773,13.330307000000001,1.0,cafes,96,11,2,5,1,5,2,10,2,107,9,1,1,107,0,9,5,7070
43,52.46915,13.34167,2.0,german,53,2,4,0,1,5,1,7,1,55,2,2,0,55,3,5,4,6456
44,52.49827,13.31751,2.0,bars,283,31,6,17,6,8,1,43,3,314,14,2,9,314,3,31,17,7454
45,52.4645761873903,13.3207042515278,2.0,italian,97,9,0,8,3,1,1,9,7,106,2,3,1,106,0,11,9,7303
46,52.5065,13.3165,2.0,vietnamese,291,17,17,8,2,4,4,35,2,308,17,3,4,308,6,23,12,8586
47,52.4537424,13.315628,2.0,icecream,47,5,0,1,0,1,3,7,5,52,3,1,1,52,1,4,1,7498
48,52.48619,13.32015,2.0,serbocroatian,97,1,4,2,2,6,4,8,0,98,3,3,1,98,2,7,9,6893
49,52.501755,13.318892000000002,3.0,german,313,15,14,15,4,5,1,48,1,328,15,0,4,328,5,25,17,10123
50,52.4437,13.3397,3.0,italian,8,1,0,0,0,1,0,1,0,9,0,1,0,9,0,1,1,7538
51,52.4785,13.3253,2.0,cafes,44,6,1,0,0,2,1,8,1,50,1,1,0,50,0,3,2,7489
52,52.4980127,13.296868400000001,2.0,landmarks,171,7,4,3,3,4,0,22,1,178,12,7,5,178,0,27,5,7324
53,52.506905,13.307145000000002,2.0,hotdogs,438,13,29,11,4,15,6,51,10,451,16,3,10,451,9,35,20,6354
54,52.50805,13.3053899,2.0,cafes,342,27,21,4,6,8,8,46,9,369,14,3,4,369,9,24,14,8880
55,52.50638000000001,13.317060000000001,1.0,italian,263,31,18,7,2,5,4,31,2,294,15,3,4,294,6,24,11,9293
56,52.5069299,13.30582,2.0,italian,375,46,27,9,7,13,6,46,11,421,17,3,6,421,9,27,20,7074
57,52.4749833,13.338846300000002,2.0,panasian,51,1,3,0,1,1,1,5,2,52,3,2,0,52,1,5,2,7600
58,52.4659002,13.3299,2.0,chinese,113,1,3,5,1,6,1,11,4,114,4,3,1,114,3,12,10,6904
59,52.4906632296171,13.3134146779776,2.0,kebab,77,4,2,0,0,6,4,4,0,81,1,2,4,81,0,7,6,12313
60,52.46488000000001,13.33022,2.0,cafes,101,13,2,8,1,6,2,9,4,114,4,3,1,114,3,12,10,6606
61,52.506431675293896,13.3150096339464,2.0,persian,361,3,17,8,2,6,5,39,8,364,17,3,4,364,6,26,16,8713
62,52.50623,13.31811,2.0,chinese,263,4,15,6,3,6,3,33,2,267,15,3,4,267,6,22,9,7222
63,52.500780000000006,13.3077,2.0,buffets,471,1,16,16,7,13,3,53,8,472,18,3,14,472,1,49,24,7830
64,52.469578000000006,13.305807999999999,2.0,foodstands,32,0,0,0,0,0,0,7,0,32,2,1,0,32,0,1,6,7239
