,score
0,5.0
1,6.0
2,5.0
3,4.0
4,7.0
5,3.0
6,7.0
7,6.125
8,5.625
9,7.0
10,7.0
11,4.5
12,5.625
13,7.875
14,6.75
15,4.5
16,5.625
17,5.0
18,4.375
19,8.0
20,3.125
21,4.5
22,6.75
23,5.25
24,6.75
25,7.0
26,3.0
27,9.0
28,7.0
29,5.0
30,4.0
31,6.125
32,3.75
33,4.375
34,5.25
35,6.0
36,6.25
37,4.0
38,2.5
39,5.0
40,3.5
41,5.625
42,5.25
43,5.0
44,6.75
45,6.25
46,7.0
47,5.0
48,7.875
49,6.75
50,7.0
51,5.25
52,5.625
53,2.5
54,4.5
55,2.5
56,4.375
57,6.25
58,7.0
59,4.0
60,7.875
61,6.75
62,7.0
63,5.25
64,1.0
65,5.625
66,6.25
67,6.0
68,7.0
69,5.0
70,4.375
71,4.0
72,4.0
73,6.0
74,7.875
75,5.625
76,6.125
77,2.625
78,5.0
79,5.0
80,5.625
81,8.0
82,5.0
83,6.0
84,3.0
85,6.25
86,7.0
87,4.375
88,6.125
89,7.0
90,5.25
91,7.0
92,4.375
93,4.0
94,5.0
95,3.5
96,6.75
97,5.25
98,2.0
99,8.0
100,7.0
101,6.0
102,1.0
103,7.0
104,6.75
105,6.25
106,7.0
107,3.0
108,5.25
109,6.125
110,2.5
111,5.0
112,6.75
113,7.0
114,7.875
115,3.75
116,5.0
117,7.0
118,7.0
119,5.0
120,5.625
121,8.0
122,7.875
123,5.0
124,6.125
125,6.75
126,7.0
127,5.0
128,4.375
129,4.0
130,2.0
131,6.125
132,4.375
133,7.0
134,4.0
135,3.5
136,6.125
137,5.0
138,8.0
139,6.0
140,7.0
141,1.0
142,4.5
143,4.5
144,4.375
145,8.0
146,6.0
147,7.5
148,4.0
149,1.875
150,4.375
151,6.125
152,4.0
153,5.625
154,5.0
155,6.25
156,5.25
157,6.125
158,4.0
159,4.0
160,7.0
161,5.0
162,3.75
163,4.5
164,5.625
165,7.0
166,6.0
167,5.0
168,2.0
169,6.25
170,6.125
171,4.0
172,3.0
173,7.875
174,4.375
175,5.0
176,1.0
177,7.0
178,4.0
179,7.0
180,6.0
181,5.0
182,5.0
183,5.0
184,4.0
185,6.75
186,6.0
187,6.125
188,2.5
189,6.0
190,7.875
191,4.375
192,5.0
193,4.0
194,5.25
195,5.0
196,5.625
197,4.0
198,5.0
199,10.0
200,6.75
201,7.875
202,5.0
203,7.875
204,7.0
205,6.25
206,7.875
207,6.25
208,7.0
209,7.875
210,4.0
211,6.0
212,5.0
213,3.0
214,4.5
215,5.0
216,4.375
217,5.0
218,5.0
219,5.25
220,4.5
221,4.0
222,5.0
223,4.5
224,5.625
225,6.125
226,2.5
227,5.625
228,7.0
229,3.5
230,4.0
231,3.0
232,6.25
233,5.0
234,7.0
235,7.0
236,6.75
237,8.75
238,7.0
239,7.0
240,5.0
241,5.0
242,5.625
243,4.0
244,6.0
245,5.625
246,7.0
247,5.0
248,8.0
249,7.0
250,3.0
251,5.25
252,7.0
253,4.0
254,7.0
255,3.75
256,5.25
257,5.0
258,5.0
259,5.0
260,7.875
261,6.25
262,6.25
263,6.0
264,7.875
265,3.0
266,5.0
267,6.125
268,6.25
269,7.875
270,3.5
271,4.0
272,7.875
273,4.0
274,3.0
275,9.0
276,4.5
277,7.0
278,9.0
279,6.0
280,6.75
281,9.0
282,6.75
283,7.875
284,8.75
285,7.0
286,5.0
287,4.0
288,2.5
289,7.875
290,6.0
291,6.25
292,6.0
293,5.0
294,6.75
295,5.0
296,4.5
297,7.0
298,2.0
299,6.0
300,7.875
301,9.0
302,6.0
303,3.5
304,1.0
305,5.0
306,4.5
307,7.875
308,6.0
309,3.75
310,4.0
311,8.0
312,5.0
313,5.25
314,3.75
315,3.0
316,7.0
317,5.25
318,8.0
319,6.0
320,5.625
321,5.25
322,4.0
323,7.875
324,3.0
