,score,predictedscore,dif
0,7.875,5.92,1.955
1,6.75,6.68,0.07000000000000028
2,6.75,6.64,0.11000000000000032
3,8.0,5.91,2.09
4,8.75,5.49,3.26
5,2.5,6.76,4.26
6,7.0,6.51,0.4900000000000002
7,7.0,6.11,0.8899999999999997
8,6.0,6.15,0.15000000000000036
9,7.0,5.63,1.37
10,7.0,6.54,0.45999999999999996
11,6.125,5.97,0.15500000000000025
12,3.0,5.05,2.05
13,7.0,5.39,1.6100000000000003
14,4.375,6.65,2.2750000000000004
15,5.25,6.59,1.3399999999999999
16,8.75,6.79,1.96
17,3.75,6.12,2.37
18,7.0,6.39,0.6100000000000003
19,6.125,6.77,0.6449999999999996
20,5.25,6.83,1.58
21,7.0,6.45,0.5499999999999998
22,6.25,6.5,0.25
23,7.875,5.8,2.075
24,7.875,5.73,2.1449999999999996
25,5.25,6.14,0.8899999999999997
26,4.375,6.56,2.1849999999999996
27,8.0,6.03,1.9699999999999998
28,5.0,5.88,0.8799999999999999
29,5.25,5.8,0.5499999999999998
30,6.75,6.0,0.75
31,6.125,4.96,1.165
32,4.0,6.57,2.5700000000000003
33,4.0,5.87,1.87
34,7.0,5.63,1.37
35,7.0,5.84,1.1600000000000001
36,9.0,6.59,2.41
37,5.25,5.86,0.6100000000000003
38,9.0,6.42,2.58
39,7.0,6.5,0.5
40,6.0,6.44,0.4400000000000004
41,7.0,6.57,0.4299999999999997
42,7.875,6.03,1.8449999999999998
43,5.25,6.63,1.38
44,7.875,6.76,1.1150000000000002
45,6.125,4.96,1.165
46,7.0,5.7,1.2999999999999998
47,7.875,6.02,1.8550000000000004
48,7.0,6.13,0.8700000000000001
49,8.0,5.83,2.17
50,6.75,6.51,0.2400000000000002
51,8.0,5.9,2.0999999999999996
52,6.125,6.83,0.7050000000000001
53,7.0,5.59,1.4100000000000001
54,2.0,5.51,3.51
55,4.5,5.22,0.7199999999999998
56,7.0,6.88,0.1200000000000001
57,5.0,5.91,0.9100000000000001
58,6.0,5.88,0.1200000000000001
59,7.0,7.01,0.009999999999999787
60,8.75,6.63,2.12
61,7.0,5.87,1.13
62,7.0,5.94,1.0599999999999996
63,9.0,6.5,2.5
64,5.25,6.92,1.67
65,3.75,4.83,1.08
66,2.5,5.01,2.51
67,4.5,6.05,1.5499999999999998
68,5.0,6.22,1.2199999999999998
69,7.0,6.68,0.3200000000000003
70,7.875,6.03,1.8449999999999998
71,5.25,5.84,0.5899999999999999
72,5.625,6.55,0.9249999999999998
73,6.0,6.55,0.5499999999999998
74,9.0,6.2,2.8
75,4.5,6.91,2.41
76,6.0,6.28,0.28000000000000025
77,6.75,5.73,1.0199999999999996
78,7.0,5.63,1.37
79,5.25,6.11,0.8600000000000003
80,5.0,5.84,0.8399999999999999
81,7.875,6.13,1.745
82,7.875,6.43,1.4450000000000003
83,7.0,6.21,0.79
84,7.0,6.57,0.4299999999999997
85,4.0,6.6,2.5999999999999996
86,7.0,5.36,1.6399999999999997
87,7.0,5.79,1.21
88,5.25,6.23,0.9800000000000004
89,5.0,6.49,1.4900000000000002
90,4.375,6.04,1.665
91,5.25,6.26,1.0099999999999998
92,6.25,5.53,0.7199999999999998
93,8.75,6.82,1.9299999999999997
94,3.75,6.64,2.8899999999999997
95,9.0,6.43,2.5700000000000003
96,7.0,6.17,0.8300000000000001
97,8.0,6.52,1.4800000000000004
98,4.5,6.65,2.1500000000000004
99,7.0,6.74,0.2599999999999998
100,9.0,6.43,2.5700000000000003
101,7.5,5.76,1.7400000000000002
102,5.625,5.67,0.04499999999999993
103,6.125,5.02,1.1050000000000004
104,6.125,6.21,0.08499999999999996
105,3.75,5.85,2.0999999999999996
106,7.0,5.02,1.9800000000000004
107,5.25,6.66,1.4100000000000001
108,6.75,5.41,1.3399999999999999
109,8.0,5.9,2.0999999999999996
110,6.75,6.56,0.1900000000000004
111,8.0,6.76,1.2400000000000002
112,6.75,6.35,0.40000000000000036
113,8.0,5.95,2.05
114,8.75,6.41,2.34
115,5.625,6.23,0.6050000000000004
116,6.0,6.3,0.2999999999999998
117,8.75,6.45,2.3
118,6.25,6.4,0.15000000000000036
119,7.0,6.18,0.8200000000000003
120,5.0,5.02,0.019999999999999574
121,7.875,6.82,1.0549999999999997
122,4.5,6.0,1.5
123,7.0,6.59,0.41000000000000014
124,6.0,6.75,0.75
125,4.375,5.84,1.4649999999999999
126,4.375,6.16,1.7850000000000001
127,6.125,5.17,0.9550000000000001
128,4.5,5.04,0.54
129,7.0,5.99,1.0099999999999998
130,4.0,6.68,2.6799999999999997
131,7.875,5.77,2.1050000000000004
132,5.625,5.68,0.054999999999999716
133,6.25,5.3,0.9500000000000002
134,7.875,6.06,1.8150000000000004
135,7.0,6.69,0.3099999999999996
136,7.0,6.7,0.2999999999999998
137,6.125,5.17,0.9550000000000001
138,3.5,6.09,2.59
139,4.0,6.12,2.12
140,5.0,6.74,1.7400000000000002
141,9.0,5.72,3.2800000000000002
142,7.0,6.01,0.9900000000000002
143,8.0,6.57,1.4299999999999997
144,5.0,5.72,0.7199999999999998
145,4.0,5.54,1.54
146,4.375,6.57,2.1950000000000003
147,8.0,6.75,1.25
148,7.0,6.34,0.6600000000000001
149,7.875,5.74,2.135
150,6.75,5.77,0.9800000000000004
151,9.0,6.64,2.3600000000000003
152,6.125,6.84,0.7149999999999999
153,3.0,5.61,2.6100000000000003
154,2.5,5.77,3.2699999999999996
155,7.0,6.02,0.9800000000000004
156,3.75,6.29,2.54
157,6.75,5.51,1.2400000000000002
158,7.875,5.57,2.3049999999999997
159,7.0,5.93,1.0700000000000003
160,7.875,5.73,2.1449999999999996
161,5.25,5.57,0.3200000000000003
162,4.375,6.74,2.365
163,5.0,6.62,1.62
164,7.0,6.45,0.5499999999999998
165,5.25,6.25,1.0
166,6.75,6.52,0.23000000000000043
167,4.5,5.83,1.33
168,4.0,6.29,2.29
169,2.0,6.66,4.66
170,5.0,6.43,1.4299999999999997
171,6.125,6.15,0.025000000000000355
172,5.0,6.01,1.0099999999999998
173,5.0,5.74,0.7400000000000002
174,5.625,5.68,0.054999999999999716
175,7.0,6.54,0.45999999999999996
176,5.625,5.76,0.1349999999999998
177,7.0,5.7,1.2999999999999998
178,5.625,5.85,0.22499999999999964
