,score,predictedscore,dif
0,7.875,5.9,1.9749999999999996
1,6.75,6.66,0.08999999999999986
2,6.75,6.52,0.23000000000000043
3,8.0,5.87,2.13
4,8.75,5.45,3.3
5,2.5,6.64,4.14
6,7.0,6.47,0.5300000000000002
7,7.0,6.09,0.9100000000000001
8,6.0,6.08,0.08000000000000007
9,7.0,5.59,1.4100000000000001
10,7.0,6.46,0.54
11,6.125,5.9,0.22499999999999964
12,3.0,4.99,1.9900000000000002
13,7.0,5.33,1.67
14,4.375,6.57,2.1950000000000003
15,5.25,6.56,1.3099999999999996
16,8.75,6.68,2.0700000000000003
17,3.75,6.07,2.3200000000000003
18,7.0,6.34,0.6600000000000001
19,6.125,6.67,0.5449999999999999
20,5.25,6.72,1.4699999999999998
21,7.0,6.31,0.6900000000000004
22,6.25,6.39,0.13999999999999968
23,7.875,5.73,2.1449999999999996
24,7.875,5.68,2.1950000000000003
25,5.25,6.05,0.7999999999999998
26,4.375,6.43,2.0549999999999997
27,8.0,5.96,2.04
28,5.0,5.84,0.8399999999999999
29,5.25,5.69,0.4400000000000004
30,6.75,5.94,0.8099999999999996
31,6.125,4.9,1.2249999999999996
32,4.0,6.39,2.3899999999999997
33,4.0,5.82,1.8200000000000003
34,7.0,5.57,1.4299999999999997
35,7.0,5.79,1.21
36,9.0,6.57,2.4299999999999997
37,5.25,5.8,0.5499999999999998
38,9.0,6.3,2.7
39,7.0,6.4,0.5999999999999996
40,6.0,6.36,0.3600000000000003
41,7.0,6.48,0.5199999999999996
42,7.875,6.0,1.875
43,5.25,6.56,1.3099999999999996
44,7.875,6.66,1.2149999999999999
45,6.125,4.9,1.2249999999999996
46,7.0,5.63,1.37
47,7.875,5.98,1.8949999999999996
48,7.0,6.07,0.9299999999999997
49,8.0,5.74,2.26
50,6.75,6.55,0.20000000000000018
51,8.0,5.84,2.16
52,6.125,6.81,0.6849999999999996
53,7.0,5.53,1.4699999999999998
54,2.0,5.46,3.46
55,4.5,5.18,0.6799999999999997
56,7.0,6.77,0.23000000000000043
57,5.0,5.89,0.8899999999999997
58,6.0,5.81,0.1900000000000004
59,7.0,6.89,0.11000000000000032
60,8.75,6.5,2.25
61,7.0,5.79,1.21
62,7.0,5.9,1.0999999999999996
63,9.0,6.42,2.58
64,5.25,6.82,1.5700000000000003
65,3.75,4.74,0.9900000000000002
66,2.5,4.97,2.4699999999999998
