,score,predictedscore,dif
0,7.875,5.26,2.615
1,6.75,5.98,0.7699999999999996
2,6.75,5.81,0.9400000000000004
3,8.0,5.24,2.76
4,8.75,4.77,3.9800000000000004
5,2.5,5.97,3.4699999999999998
6,7.0,5.88,1.12
7,7.0,5.45,1.5499999999999998
8,6.0,5.52,0.4800000000000004
9,7.0,5.03,1.9699999999999998
10,7.0,5.73,1.2699999999999996
11,6.125,5.46,0.665
12,3.0,4.36,1.3600000000000003
13,7.0,4.75,2.25
14,4.375,5.87,1.495
15,5.25,5.79,0.54
16,8.75,5.96,2.79
17,3.75,5.43,1.6799999999999997
18,7.0,5.74,1.2599999999999998
19,6.125,5.92,0.20500000000000007
20,5.25,6.01,0.7599999999999998
21,7.0,5.66,1.3399999999999999
22,6.25,5.68,0.5700000000000003
23,7.875,5.13,2.745
24,7.875,5.05,2.825
25,5.25,5.56,0.3099999999999996
26,4.375,5.71,1.335
27,8.0,5.4,2.5999999999999996
28,5.0,5.14,0.13999999999999968
29,5.25,5.27,0.019999999999999574
30,6.75,5.33,1.42
31,6.125,4.27,1.8550000000000004
32,4.0,5.77,1.7699999999999996
33,4.0,5.27,1.2699999999999996
34,7.0,4.97,2.0300000000000002
35,7.0,5.18,1.8200000000000003
36,9.0,6.02,2.9800000000000004
37,5.25,5.28,0.03000000000000025
38,9.0,5.56,3.4400000000000004
39,7.0,5.69,1.3099999999999996
40,6.0,5.66,0.33999999999999986
41,7.0,5.77,1.2300000000000004
42,7.875,5.34,2.535
43,5.25,5.89,0.6399999999999997
44,7.875,5.92,1.955
45,6.125,4.27,1.8550000000000004
46,7.0,5.02,1.9800000000000004
47,7.875,5.32,2.5549999999999997
48,7.0,5.46,1.54
49,8.0,5.3,2.7
50,6.75,5.77,0.9800000000000004
51,8.0,5.23,2.7699999999999996
52,6.125,6.11,0.01499999999999968
53,7.0,4.88,2.12
54,2.0,4.81,2.8099999999999996
55,4.5,4.53,0.03000000000000025
56,7.0,6.08,0.9199999999999999
57,5.0,5.27,0.2699999999999996
58,6.0,5.21,0.79
59,7.0,6.18,0.8200000000000003
60,8.75,5.83,2.92
61,7.0,5.34,1.6600000000000001
62,7.0,5.23,1.7699999999999996
63,9.0,5.69,3.3099999999999996
64,5.25,6.09,0.8399999999999999
65,3.75,4.16,0.41000000000000014
66,2.5,4.3,1.7999999999999998
67,4.5,5.44,0.9400000000000004
68,5.0,5.48,0.4800000000000004
69,7.0,5.87,1.13
70,7.875,5.25,2.625
71,5.25,5.19,0.05999999999999961
72,5.625,5.76,0.1349999999999998
73,6.0,5.7,0.2999999999999998
74,9.0,5.51,3.49
75,4.5,6.04,1.54
76,6.0,5.49,0.5099999999999998
77,6.75,5.11,1.6399999999999997
78,7.0,4.97,2.0300000000000002
79,5.25,5.58,0.33000000000000007
80,5.0,5.22,0.21999999999999975
81,7.875,5.43,2.4450000000000003
82,7.875,5.84,2.035
83,7.0,5.61,1.3899999999999997
84,7.0,5.97,1.0300000000000002
85,4.0,5.77,1.7699999999999996
86,7.0,4.67,2.33
87,7.0,5.11,1.8899999999999997
88,5.25,5.48,0.23000000000000043
89,5.0,5.8,0.7999999999999998
90,4.375,5.49,1.1150000000000002
91,5.25,5.68,0.4299999999999997
92,6.25,4.83,1.42
93,8.75,6.27,2.4800000000000004
94,3.75,5.81,2.0599999999999996
95,9.0,5.65,3.3499999999999996
96,7.0,5.56,1.4400000000000004
97,8.0,5.82,2.1799999999999997
98,4.5,5.92,1.42
99,7.0,5.88,1.12
100,9.0,5.65,3.3499999999999996
101,7.5,5.12,2.38
102,5.625,4.98,0.6449999999999996
103,6.125,4.36,1.7649999999999997
104,6.125,5.65,0.47499999999999964
105,3.75,5.16,1.4100000000000001
106,7.0,4.4,2.5999999999999996
107,5.25,5.84,0.5899999999999999
108,6.75,4.69,2.0599999999999996
109,8.0,5.23,2.7699999999999996
110,6.75,5.72,1.0300000000000002
111,8.0,5.95,2.05
112,6.75,5.64,1.1100000000000003
113,8.0,5.39,2.6100000000000003
114,8.75,5.89,2.8600000000000003
115,5.625,5.71,0.08499999999999996
116,6.0,5.7,0.2999999999999998
117,8.75,5.87,2.88
118,6.25,5.71,0.54
119,7.0,5.39,1.6100000000000003
120,5.0,4.33,0.6699999999999999
121,7.875,5.98,1.8949999999999996
122,4.5,5.3,0.7999999999999998
123,7.0,5.75,1.25
124,6.0,5.94,0.05999999999999961
125,4.375,5.16,0.7850000000000001
126,4.375,5.38,1.005
127,6.125,4.47,1.6550000000000002
128,4.5,4.35,0.15000000000000036
129,7.0,5.4,1.5999999999999996
130,4.0,5.87,1.87
131,7.875,5.28,2.5949999999999998
132,5.625,5.04,0.585
133,6.25,4.62,1.63
134,7.875,5.4,2.4749999999999996
135,7.0,5.88,1.12
136,7.0,5.89,1.1100000000000003
137,6.125,4.47,1.6550000000000002
138,3.5,5.48,1.9800000000000004
139,4.0,5.32,1.3200000000000003
140,5.0,5.93,0.9299999999999997
141,9.0,5.09,3.91
142,7.0,5.41,1.5899999999999999
143,8.0,5.77,2.2300000000000004
144,5.0,5.05,0.04999999999999982
145,4.0,4.92,0.9199999999999999
146,4.375,5.79,1.415
147,8.0,6.2,1.7999999999999998
148,7.0,5.73,1.2699999999999996
149,7.875,5.02,2.8550000000000004
150,6.75,5.09,1.6600000000000001
151,9.0,5.9,3.0999999999999996
152,6.125,6.04,0.08499999999999996
153,3.0,4.95,1.9500000000000002
154,2.5,5.11,2.6100000000000003
155,7.0,5.5,1.5
156,3.75,5.53,1.7800000000000002
157,6.75,4.78,1.9699999999999998
158,7.875,4.83,3.045
159,7.0,5.33,1.67
160,7.875,5.05,2.825
161,5.25,4.9,0.34999999999999964
162,4.375,6.07,1.6950000000000003
163,5.0,5.81,0.8099999999999996
164,7.0,5.71,1.29
165,5.25,5.62,0.3700000000000001
166,6.75,5.76,0.9900000000000002
167,4.5,5.19,0.6900000000000004
168,4.0,5.58,1.58
169,2.0,5.86,3.8600000000000003
170,5.0,5.66,0.6600000000000001
171,6.125,5.49,0.6349999999999998
