,score,predictedscore,dif
0,7.875,6.71,1.165
1,6.75,6.87,0.1200000000000001
2,6.75,6.71,0.040000000000000036
3,8.0,6.71,1.29
4,8.75,6.79,1.96
5,2.5,6.87,4.37
6,7.0,6.87,0.1299999999999999
7,7.0,6.87,0.1299999999999999
8,6.0,6.79,0.79
9,7.0,6.71,0.29000000000000004
10,7.0,6.71,0.29000000000000004
11,6.125,6.79,0.665
12,3.0,6.79,3.79
13,7.0,6.79,0.20999999999999996
14,4.375,6.79,2.415
15,5.25,6.71,1.46
16,8.75,6.71,2.04
17,3.75,6.87,3.12
18,7.0,6.71,0.29000000000000004
19,6.125,6.79,0.665
20,5.25,6.79,1.54
21,7.0,6.71,0.29000000000000004
22,6.25,6.71,0.45999999999999996
23,7.875,6.71,1.165
24,7.875,6.71,1.165
25,5.25,6.79,1.54
26,4.375,6.71,2.335
27,8.0,6.79,1.21
28,5.0,6.79,1.79
29,5.25,6.79,1.54
30,6.75,6.79,0.040000000000000036
31,6.125,6.79,0.665
32,4.0,6.71,2.71
33,4.0,6.79,2.79
34,7.0,6.71,0.29000000000000004
35,7.0,6.79,0.20999999999999996
36,9.0,6.79,2.21
37,5.25,6.71,1.46
38,9.0,6.71,2.29
39,7.0,6.87,0.1299999999999999
40,6.0,6.71,0.71
41,7.0,6.79,0.20999999999999996
42,7.875,6.71,1.165
43,5.25,6.79,1.54
44,7.875,6.79,1.085
45,6.125,6.79,0.665
46,7.0,6.79,0.20999999999999996
47,7.875,6.87,1.005
48,7.0,6.79,0.20999999999999996
49,8.0,6.79,1.21
50,6.75,6.71,0.040000000000000036
51,8.0,6.79,1.21
52,6.125,6.79,0.665
53,7.0,6.87,0.1299999999999999
54,2.0,6.95,4.95
55,4.5,6.95,2.45
56,7.0,6.87,0.1299999999999999
57,5.0,6.79,1.79
58,6.0,6.79,0.79
59,7.0,6.79,0.20999999999999996
60,8.75,6.79,1.96
61,7.0,6.79,0.20999999999999996
62,7.0,6.79,0.20999999999999996
63,9.0,6.79,2.21
64,5.25,6.79,1.54
65,3.75,6.79,3.04
66,2.5,6.71,4.21
67,4.5,6.71,2.21
68,5.0,6.71,1.71
69,7.0,6.79,0.20999999999999996
70,7.875,6.71,1.165
71,5.25,6.79,1.54
72,5.625,6.71,1.085
73,6.0,6.87,0.8700000000000001
74,9.0,6.79,2.21
75,4.5,6.79,2.29
76,6.0,6.71,0.71
77,6.75,6.79,0.040000000000000036
78,7.0,6.71,0.29000000000000004
79,5.25,6.79,1.54
80,5.0,6.87,1.87
81,7.875,6.87,1.005
82,7.875,6.79,1.085
83,7.0,6.79,0.20999999999999996
84,7.0,6.79,0.20999999999999996
85,4.0,6.79,2.79
86,7.0,6.79,0.20999999999999996
87,7.0,6.79,0.20999999999999996
88,5.25,6.79,1.54
89,5.0,6.71,1.71
90,4.375,6.79,2.415
91,5.25,6.79,1.54
92,6.25,6.71,0.45999999999999996
93,8.75,6.79,1.96
94,3.75,6.79,3.04
95,9.0,6.71,2.29
96,7.0,6.79,0.20999999999999996
97,8.0,6.79,1.21
98,4.5,6.71,2.21
99,7.0,6.79,0.20999999999999996
100,9.0,6.71,2.29
101,7.5,6.71,0.79
102,5.625,6.71,1.085
103,6.125,6.79,0.665
104,6.125,6.79,0.665
105,3.75,6.71,2.96
106,7.0,6.79,0.20999999999999996
107,5.25,6.79,1.54
108,6.75,6.71,0.040000000000000036
109,8.0,6.79,1.21
110,6.75,6.71,0.040000000000000036
111,8.0,6.79,1.21
112,6.75,6.79,0.040000000000000036
113,8.0,6.71,1.29
114,8.75,6.87,1.88
115,5.625,6.87,1.245
116,6.0,6.79,0.79
117,8.75,6.87,1.88
118,6.25,6.71,0.45999999999999996
119,7.0,6.79,0.20999999999999996
120,5.0,6.71,1.71
121,7.875,6.71,1.165
122,4.5,6.79,2.29
123,7.0,6.87,0.1299999999999999
124,6.0,6.71,0.71
125,4.375,6.71,2.335
126,4.375,6.79,2.415
127,6.125,6.71,0.585
128,4.5,6.79,2.29
