,score,predictedscore,dif
0,7.875,5.79,2.085
1,6.75,6.44,0.3099999999999996
2,6.75,6.59,0.16000000000000014
3,8.0,5.66,2.34
4,8.75,5.26,3.49
5,2.5,6.64,4.14
6,7.0,6.3,0.7000000000000002
7,7.0,5.89,1.1100000000000003
8,6.0,5.99,0.009999999999999787
9,7.0,5.41,1.5899999999999999
10,7.0,6.5,0.5
11,6.125,5.79,0.33499999999999996
12,3.0,4.71,1.71
13,7.0,5.11,1.8899999999999997
14,4.375,6.62,2.245
15,5.25,6.65,1.4000000000000004
16,8.75,6.75,2.0
17,3.75,5.67,1.92
18,7.0,6.31,0.6900000000000004
19,6.125,6.66,0.5350000000000001
20,5.25,6.71,1.46
21,7.0,6.4,0.5999999999999996
22,6.25,6.52,0.2699999999999996
23,7.875,5.47,2.4050000000000002
24,7.875,5.44,2.4349999999999996
25,5.25,5.96,0.71
26,4.375,6.53,2.1550000000000002
27,8.0,5.87,2.13
28,5.0,5.76,0.7599999999999998
29,5.25,5.58,0.33000000000000007
30,6.75,5.8,0.9500000000000002
31,6.125,4.7,1.4249999999999998
32,4.0,6.63,2.63
33,4.0,5.58,1.58
34,7.0,5.46,1.54
35,7.0,5.46,1.54
36,9.0,6.4,2.5999999999999996
37,5.25,5.7,0.4500000000000002
38,9.0,6.39,2.6100000000000003
39,7.0,6.29,0.71
40,6.0,6.48,0.4800000000000004
41,7.0,6.53,0.46999999999999975
42,7.875,5.9,1.9749999999999996
43,5.25,6.6,1.3499999999999996
44,7.875,6.6,1.2750000000000004
45,6.125,4.7,1.4249999999999998
46,7.0,5.39,1.6100000000000003
47,7.875,5.54,2.335
48,7.0,5.93,1.0700000000000003
49,8.0,5.61,2.3899999999999997
50,6.75,6.54,0.20999999999999996
51,8.0,5.49,2.51
52,6.125,6.76,0.6349999999999998
53,7.0,5.24,1.7599999999999998
54,2.0,5.04,3.04
55,4.5,4.79,0.29000000000000004
56,7.0,6.68,0.3200000000000003
57,5.0,5.7,0.7000000000000002
58,6.0,5.66,0.33999999999999986
59,7.0,6.93,0.07000000000000028
60,8.75,6.6,2.1500000000000004
61,7.0,5.68,1.3200000000000003
62,7.0,5.64,1.3600000000000003
63,9.0,6.37,2.63
64,5.25,6.84,1.5899999999999999
65,3.75,4.49,0.7400000000000002
66,2.5,4.81,2.3099999999999996
67,4.5,5.87,1.37
68,5.0,6.21,1.21
69,7.0,6.64,0.3600000000000003
70,7.875,6.05,1.8250000000000002
71,5.25,5.47,0.21999999999999975
72,5.625,6.62,0.9950000000000001
73,6.0,6.34,0.33999999999999986
74,9.0,5.95,3.05
75,4.5,6.85,2.3499999999999996
76,6.0,6.32,0.3200000000000003
77,6.75,5.5,1.25
78,7.0,5.46,1.54
79,5.25,5.93,0.6799999999999997
80,5.0,5.44,0.4400000000000004
81,7.875,5.74,2.135
82,7.875,6.25,1.625
83,7.0,6.02,0.9800000000000004
84,7.0,6.4,0.5999999999999996
85,4.0,6.55,2.55
86,7.0,4.9,2.0999999999999996
87,7.0,5.47,1.5300000000000002
88,5.25,6.12,0.8700000000000001
89,5.0,6.45,1.4500000000000002
90,4.375,5.88,1.505
91,5.25,6.18,0.9299999999999997
92,6.25,5.34,0.9100000000000001
93,8.75,6.73,2.0199999999999996
94,3.75,6.5,2.75
95,9.0,6.37,2.63
96,7.0,5.99,1.0099999999999998
97,8.0,6.32,1.6799999999999997
98,4.5,6.64,2.1399999999999997
99,7.0,6.66,0.33999999999999986
100,9.0,6.37,2.63
101,7.5,5.63,1.87
102,5.625,5.62,0.004999999999999893
103,6.125,4.67,1.455
104,6.125,5.94,0.1849999999999996
105,3.75,5.81,2.0599999999999996
106,7.0,4.7,2.3
107,5.25,6.63,1.38
108,6.75,5.1,1.6500000000000004
109,8.0,5.76,2.24
110,6.75,6.54,0.20999999999999996
111,8.0,6.64,1.3600000000000003
112,6.75,6.23,0.5199999999999996
113,8.0,5.84,2.16
114,8.75,6.1,2.6500000000000004
115,5.625,5.92,0.29499999999999993
116,6.0,6.07,0.07000000000000028
117,8.75,6.16,2.59
118,6.25,6.42,0.16999999999999993
119,7.0,6.08,0.9199999999999999
120,5.0,4.74,0.2599999999999998
121,7.875,6.82,1.0549999999999997
122,4.5,5.69,1.1900000000000004
123,7.0,6.4,0.5999999999999996
124,6.0,6.75,0.75
125,4.375,5.7,1.3250000000000002
126,4.375,6.04,1.665
127,6.125,5.0,1.125
128,4.5,4.58,0.08000000000000007
129,7.0,5.82,1.1799999999999997
130,4.0,6.66,2.66
131,7.875,5.63,2.245
132,5.625,5.35,0.27500000000000036
133,6.25,5.03,1.2199999999999998
134,7.875,6.02,1.8550000000000004
135,7.0,6.59,0.41000000000000014
136,7.0,6.58,0.41999999999999993
137,6.125,5.0,1.125
138,3.5,5.92,2.42
139,4.0,6.0,2.0
140,5.0,6.6,1.5999999999999996
141,9.0,5.36,3.6399999999999997
142,7.0,5.75,1.25
143,8.0,6.49,1.5099999999999998
144,5.0,5.45,0.4500000000000002
145,4.0,5.24,1.2400000000000002
146,4.375,6.53,2.1550000000000002
147,8.0,6.56,1.4400000000000004
148,7.0,6.28,0.7199999999999998
149,7.875,5.57,2.3049999999999997
150,6.75,5.51,1.2400000000000002
151,9.0,6.59,2.41
152,6.125,6.64,0.5149999999999997
153,3.0,5.55,2.55
154,2.5,5.47,2.9699999999999998
155,7.0,5.75,1.25
156,3.75,6.3,2.55
157,6.75,5.21,1.54
158,7.875,5.01,2.865
159,7.0,5.67,1.33
160,7.875,5.59,2.285
161,5.25,5.34,0.08999999999999986
162,4.375,6.65,2.2750000000000004
163,5.0,6.68,1.6799999999999997
164,7.0,6.38,0.6200000000000001
165,5.25,5.96,0.71
166,6.75,6.46,0.29000000000000004
167,4.5,5.78,1.2800000000000002
168,4.0,6.27,2.2699999999999996
169,2.0,6.62,4.62
170,5.0,6.35,1.3499999999999996
171,6.125,5.96,0.16500000000000004
172,5.0,5.88,0.8799999999999999
173,5.0,5.41,0.41000000000000014
174,5.625,5.35,0.27500000000000036
175,7.0,6.35,0.6500000000000004
176,5.625,5.42,0.20500000000000007
177,7.0,5.38,1.62
178,5.625,5.6,0.025000000000000355
179,7.0,5.71,1.29
180,6.25,6.09,0.16000000000000014
181,6.75,6.91,0.16000000000000014
182,4.375,5.74,1.3650000000000002
183,7.875,5.48,2.3949999999999996
184,6.0,5.82,0.17999999999999972
185,6.75,5.97,0.7800000000000002
186,7.0,5.93,1.0700000000000003
187,7.0,4.8,2.2
188,7.0,6.52,0.4800000000000004
189,6.125,6.04,0.08499999999999996
190,7.0,6.4,0.5999999999999996
191,7.875,4.49,3.385
192,6.25,5.34,0.9100000000000001
193,5.625,5.83,0.20500000000000007
194,7.0,6.4,0.5999999999999996
195,4.0,5.71,1.71
196,7.5,4.94,2.5599999999999996
197,7.875,6.64,1.2350000000000003
198,5.0,6.22,1.2199999999999998
199,6.125,6.43,0.3049999999999997
200,6.25,6.42,0.16999999999999993
201,7.875,5.64,2.2350000000000003
202,6.125,5.96,0.16500000000000004
203,5.0,5.07,0.07000000000000028
204,4.375,6.71,2.335
205,5.625,6.54,0.915
206,5.0,6.32,1.3200000000000003
207,6.75,6.23,0.5199999999999996
208,8.0,5.37,2.63
209,5.25,6.64,1.3899999999999997
210,5.625,6.39,0.7649999999999997
211,7.0,4.95,2.05
212,5.25,6.01,0.7599999999999998
213,4.5,5.36,0.8600000000000003
214,4.375,6.65,2.2750000000000004
215,7.875,6.26,1.6150000000000002
216,7.875,5.51,2.365
217,4.0,6.53,2.5300000000000002
218,5.0,6.61,1.6100000000000003
219,8.0,5.55,2.45
220,2.5,5.56,3.0599999999999996
221,3.5,5.14,1.6399999999999997
222,3.5,6.45,2.95
223,7.875,5.65,2.2249999999999996
224,7.0,5.55,1.4500000000000002
225,7.0,4.7,2.3
226,4.375,6.64,2.2649999999999997
227,8.0,4.93,3.0700000000000003
228,6.0,5.44,0.5599999999999996
229,7.875,5.2,2.675
230,7.875,5.25,2.625
231,4.0,6.56,2.5599999999999996
232,7.0,6.09,0.9100000000000001
233,4.5,6.67,2.17
234,5.25,5.1,0.15000000000000036
235,8.0,5.95,2.05
236,8.0,6.38,1.62
237,6.0,4.96,1.04
238,4.375,6.31,1.9349999999999996
239,6.125,5.63,0.4950000000000001
240,5.25,6.54,1.29
241,7.0,5.98,1.0199999999999996
242,5.0,5.44,0.4400000000000004
243,5.0,5.1,0.09999999999999964
244,6.125,5.97,0.15500000000000025
245,4.375,5.8,1.4249999999999998
246,6.0,7.0,1.0
247,7.0,6.76,0.2400000000000002
248,6.125,6.66,0.5350000000000001
249,3.5,5.58,2.08
250,7.875,5.46,2.415
251,3.0,5.0,2.0
252,9.0,5.95,3.05
253,8.0,5.84,2.16
254,6.75,5.61,1.1399999999999997
255,7.0,6.52,0.4800000000000004
256,8.75,6.71,2.04
257,7.875,5.7,2.175
258,7.5,6.22,1.2800000000000002
259,8.0,6.15,1.8499999999999996
260,3.5,5.58,2.08
261,1.0,4.76,3.76
262,7.875,6.79,1.085
263,6.125,6.69,0.5650000000000004
264,6.125,5.86,0.2649999999999997
265,6.125,6.7,0.5750000000000002
266,8.0,6.32,1.6799999999999997
267,6.75,6.73,0.019999999999999574
268,4.375,6.32,1.9450000000000003
269,7.0,6.27,0.7300000000000004
270,6.75,5.5,1.25
271,7.875,5.39,2.4850000000000003
272,1.0,4.74,3.74
273,7.0,5.82,1.1799999999999997
274,4.375,6.06,1.6849999999999996
275,7.0,5.82,1.1799999999999997
276,5.0,5.76,0.7599999999999998
277,7.0,6.4,0.5999999999999996
278,5.25,6.31,1.0599999999999996
279,7.0,6.41,0.5899999999999999
280,6.125,5.82,0.3049999999999997
281,7.875,6.41,1.4649999999999999
282,7.875,6.18,1.6950000000000003
283,5.25,6.5,1.25
284,5.625,6.61,0.9850000000000003
285,1.0,6.47,5.47
286,7.0,6.09,0.9100000000000001
287,6.125,5.63,0.4950000000000001
288,4.5,5.15,0.6500000000000004
289,5.0,4.57,0.4299999999999997
290,8.0,5.57,2.4299999999999997
291,7.875,5.57,2.3049999999999997
292,7.0,5.69,1.3099999999999996
293,4.0,6.81,2.8099999999999996
294,6.0,6.2,0.20000000000000018
295,5.25,5.45,0.20000000000000018
296,7.875,5.7,2.175
297,5.0,5.87,0.8700000000000001
298,5.25,5.53,0.28000000000000025
299,6.0,6.35,0.34999999999999964
300,6.75,6.73,0.019999999999999574
301,7.875,6.31,1.5650000000000004
302,5.0,5.94,0.9400000000000004
303,6.0,5.68,0.3200000000000003
304,8.0,5.19,2.8099999999999996
305,6.0,4.68,1.3200000000000003
306,7.875,6.17,1.705
307,7.875,6.48,1.3949999999999996
308,6.125,5.71,0.41500000000000004
309,5.0,6.74,1.7400000000000002
310,3.75,5.17,1.42
311,7.0,5.29,1.71
312,4.5,6.6,2.0999999999999996
313,6.125,5.65,0.47499999999999964
314,4.5,6.77,2.2699999999999996
315,7.0,4.97,2.0300000000000002
316,6.125,5.11,1.0149999999999997
317,5.0,6.63,1.63
318,5.25,5.96,0.71
319,3.0,6.46,3.46
320,6.125,5.51,0.6150000000000002
321,8.75,6.5,2.25
322,5.0,6.98,1.9800000000000004
323,6.125,6.76,0.6349999999999998
324,2.0,5.41,3.41
325,6.125,5.76,0.3650000000000002
326,8.75,6.5,2.25
327,7.875,5.34,2.535
328,6.75,5.36,1.3899999999999997
329,5.25,5.7,0.4500000000000002
330,7.875,6.17,1.705
331,7.5,6.24,1.2599999999999998
332,7.5,6.39,1.1100000000000003
333,6.125,5.51,0.6150000000000002
334,6.75,6.76,0.009999999999999787
335,6.125,5.71,0.41500000000000004
336,6.125,6.01,0.11500000000000021
337,1.0,4.76,3.76
338,8.75,6.63,2.12
339,6.0,5.73,0.2699999999999996
340,6.75,5.21,1.54
341,7.0,6.43,0.5700000000000003
342,5.25,6.7,1.4500000000000002
343,4.0,5.61,1.6100000000000003
344,6.75,6.68,0.07000000000000028
345,7.875,6.2,1.6749999999999998
346,6.75,6.66,0.08999999999999986
347,6.125,5.11,1.0149999999999997
348,6.125,5.71,0.41500000000000004
349,8.0,6.37,1.63
350,7.875,5.51,2.365
351,6.75,6.24,0.5099999999999998
352,7.0,6.6,0.40000000000000036
353,7.875,6.78,1.0949999999999998
354,5.25,5.98,0.7300000000000004
355,6.0,5.68,0.3200000000000003
356,6.125,5.69,0.4349999999999996
357,9.0,6.39,2.6100000000000003
358,7.0,6.76,0.2400000000000002
359,6.0,6.07,0.07000000000000028
360,6.75,5.36,1.3899999999999997
361,5.0,6.38,1.38
362,5.25,6.65,1.4000000000000004
363,5.0,6.53,1.5300000000000002
364,7.0,6.03,0.9699999999999998
365,5.25,6.35,1.0999999999999996
366,7.875,6.75,1.125
367,3.75,5.97,2.2199999999999998
368,4.0,6.41,2.41
369,7.875,6.44,1.4349999999999996
370,7.875,5.89,1.9850000000000003
371,7.0,5.76,1.2400000000000002
