,score,predictedscore,dif
0,7.875,5.16,2.715
1,6.75,5.95,0.7999999999999998
2,6.75,5.88,0.8700000000000001
3,8.0,5.18,2.8200000000000003
4,8.75,4.73,4.02
5,2.5,5.75,3.25
6,7.0,5.86,1.1399999999999997
7,7.0,5.39,1.6100000000000003
8,6.0,5.67,0.33000000000000007
9,7.0,4.88,2.12
10,7.0,5.7,1.2999999999999998
11,6.125,5.45,0.6749999999999998
12,3.0,4.34,1.3399999999999999
13,7.0,4.7,2.3
14,4.375,5.74,1.3650000000000002
15,5.25,5.65,0.40000000000000036
16,8.75,6.04,2.71
17,3.75,5.4,1.6500000000000004
18,7.0,5.74,1.2599999999999998
19,6.125,5.84,0.28500000000000014
20,5.25,6.06,0.8099999999999996
21,7.0,5.64,1.3600000000000003
22,6.25,5.67,0.5800000000000001
23,7.875,5.11,2.7649999999999997
24,7.875,5.05,2.825
25,5.25,5.57,0.3200000000000003
26,4.375,5.64,1.2649999999999997
27,8.0,5.45,2.55
28,5.0,5.12,0.1200000000000001
29,5.25,5.26,0.009999999999999787
30,6.75,5.35,1.4000000000000004
31,6.125,4.24,1.8849999999999998
32,4.0,5.41,1.4100000000000001
33,4.0,5.12,1.12
34,7.0,4.95,2.05
35,7.0,5.15,1.8499999999999996
36,9.0,6.05,2.95
37,5.25,5.23,0.019999999999999574
38,9.0,5.51,3.49
39,7.0,5.6,1.4000000000000004
40,6.0,5.6,0.40000000000000036
41,7.0,5.67,1.33
42,7.875,5.28,2.5949999999999998
43,5.25,5.78,0.5300000000000002
44,7.875,5.98,1.8949999999999996
45,6.125,4.24,1.8849999999999998
46,7.0,5.05,1.9500000000000002
47,7.875,5.27,2.6050000000000004
48,7.0,5.47,1.5300000000000002
49,8.0,5.29,2.71
50,6.75,5.81,0.9400000000000004
51,8.0,5.21,2.79
52,6.125,6.06,0.06500000000000039
53,7.0,4.92,2.08
54,2.0,4.79,2.79
55,4.5,4.5,0.0
56,7.0,6.13,0.8700000000000001
57,5.0,5.25,0.25
58,6.0,5.22,0.7800000000000002
59,7.0,6.04,0.96
60,8.75,5.57,3.1799999999999997
61,7.0,5.29,1.71
62,7.0,5.24,1.7599999999999998
63,9.0,5.65,3.3499999999999996
64,5.25,5.96,0.71
65,3.75,4.15,0.40000000000000036
66,2.5,4.29,1.79
67,4.5,5.42,0.9199999999999999
68,5.0,5.64,0.6399999999999997
69,7.0,5.75,1.25
70,7.875,5.23,2.6449999999999996
71,5.25,5.16,0.08999999999999986
72,5.625,5.63,0.004999999999999893
73,6.0,5.64,0.3600000000000003
74,9.0,5.57,3.4299999999999997
75,4.5,6.17,1.67
76,6.0,5.61,0.3899999999999997
77,6.75,5.08,1.67
78,7.0,4.95,2.05
79,5.25,5.61,0.3600000000000003
80,5.0,5.19,0.1900000000000004
81,7.875,5.47,2.4050000000000002
