coordinates.latitude,coordinates.longitude,rating,review_count,price,categories.0.alias
52.4588651080049,13.3229861408472,4.5,198,€,currysausage
52.4586,13.3045,4.5,147,,museums
52.4715,13.3361,5,78,€€,korean
52.4677,13.33165,4.5,92,€,vietnamese
52.4462206,13.3155596,4.5,163,€€,vietnamese
52.46047,13.32316,4,189,€,sushi
52.46192,13.31874,4.5,80,€€€,greek
52.46316,13.32883,4.5,80,€€,thai
52.475434354777,13.339735141679,4,240,€€,italian
52.4539841367397,13.3232087619922,4.5,66,€€,icecream
52.4646,13.32381,4,66,€€,irish_pubs
52.4730573065545,13.3163896772461,4.5,42,,parks
52.4646304,13.338616,4.5,97,€€,pizza
52.4772,13.32982,4.5,65,€€,coffee
52.4542449310551,13.317367587183,4.5,90,€€,indpak
52.4668816838772,13.3297983703613,4.5,46,€,sushi
52.4585811618724,13.3218468347546,5,22,€€,icecream
52.4644678803782,13.3298784044689,4,104,€€,cafes
52.46837,13.32866,4.5,43,€€,bakeries
52.4707,13.3306,4.5,44,€€,korean
52.4559593,13.3246803,4.5,32,€,chinese
52.450679,13.339645,4,127,€,currysausage
52.47094,13.33506,4,65,€€,coffee
52.45968,13.3242,4.5,22,€€,sushi
52.46041,13.31734,4.5,36,€€€,modern_european
52.473071,13.321871,4.5,25,€,cafes
52.48816,13.33783,4.5,178,€€,greek
52.4781448947364,13.312981307132,4.5,66,€€,italian
52.4643229635466,13.3297218567435,4,52,€€,italian
52.46913,13.33189,4.5,35,€,vietnamese
52.4665256740828,13.3218629658222,5,13,€€,bars
52.46407,13.33113,4.5,30,€,korean
52.46649,13.32802,5,16,€€,thai
52.4600593950453,13.3252308145165,4.5,21,€,sushi
52.4664086,13.3277316,3,108,€€,spanish
52.472532,13.314698,4,50,€€€,french
52.4595545553398,13.3236546469341,4,57,€€,sushi
52.47326,13.3213899,4.5,27,€€,greek
52.45715,13.32193,3.5,79,€€€,panasian
52.4929289565313,13.3117852714112,4.5,104,€,thai
52.4814,13.3331,4.5,32,,parks
52.4720529930485,13.3355358218505,5,18,€,kebab
52.4650497,13.3289404,4,33,€,oriental
52.4631759,13.3204022,4.5,20,€€€,delicatessen
52.4706248,13.3201371,4.5,25,€€,sushi
52.45565,13.31727,4,68,€€,mexican
52.4531023,13.3204389,4.5,30,€€,cocktailbars
52.46437,13.32604,4.5,15,€,cafes
52.4600778557843,13.3249788640693,4,37,€€,pizza
52.4641499,13.33093,5,13,€,icecream
52.4469769309611,13.3114856357674,5,25,€€,pubs
52.458654,13.322708,4,32,€€,cakeshop
52.461263,13.318182,4,25,€€,irish_pubs
52.49496,13.32414,4,134,€€,chinese
52.47496,13.32341,4,46,€€,italian
52.472768485657,13.337222677654,4,41,€€,sushi
52.46024,13.31755,4,38,€€,thai
52.4700789,13.3402932,5,20,€€€,italian
52.470045505499,13.3403185162503,4,31,€€,coffee
52.4570524124527,13.3220238852621,3.5,51,€€,tradamerican
52.47901,13.32769,3.5,90,€€€,mexican
52.4667,13.33,4,30,€€,spanish
52.45797,13.32925,4,33,€€,irish_pubs
52.49855,13.32485,4.5,113,€€,sushi
52.4767222456967,13.3264443646686,4.5,20,€€,cafes
52.4665777675304,13.3250030330657,4,22,€€,german
52.49624,13.32255,4,110,€€,spanish
52.46011,13.30945,4.5,17,€,vietnamese
52.454163,13.317163,3.5,94,€€,tradamerican
52.4644397364299,13.3233240991831,4.5,14,€€,italian
52.460465,13.323129,3.5,43,€€,thai
52.45321,13.3244,4,44,€€€€,mediterranean
52.46332,13.32992,4,26,€€,japanese
52.46488,13.33022,4.5,14,€€,cafes
52.467411,13.321699,4.5,19,€€,argentine
52.47956,13.33369,4.5,33,€€€,modern_european
52.4732,13.3175,3.5,42,€€,german
52.4962239,13.3428881,4.5,83,€€,italian
52.46299,13.31917,4.5,10,€€,italian
52.4709396,13.3350601,4,35,€€€,italian
52.49762,13.34057,4.5,95,€€,vietnamese
52.4886247,13.3367273,4,85,€€,chinese
52.460277,13.324592,3.5,43,€€,mideastern
52.455368,13.326145,4.5,20,€,italian
52.45968,13.32281,4,22,€€,cafes
52.4485,13.3064,4.5,22,€€,icecream
52.46702,13.32534,4,16,€€,cafes
52.45349,13.315,3.5,60,€€,german
52.458156,13.321541,4,19,€€,icecream
52.456925,13.319318,4,29,€€,cafes
52.4687,13.3325,5,11,€€€,italian
52.4659002,13.3299,4,15,€€,chinese
52.4881696707906,13.3380373347483,4,83,€€,german
52.4679,13.3091,4,31,€€,italian
52.47526,13.33311,4,31,€€,greek
52.487952,13.317788,4.5,27,€€€,japanese
52.4539427402891,13.3165895656345,3.5,46,€€,indpak
52.46585,13.32971,3.5,36,€€,cafes
52.4523536,13.320034,4.5,19,€,italian
52.4859948,13.3263212,4.5,15,€€€,bakeries
52.49683,13.32393,4,97,€€,breakfast_brunch
52.466726,13.319851,4,15,€€,greek
52.489366,13.319909,4,59,€€,french
52.48295,13.32072,3.5,54,€€,mexican
52.45709,13.322429,3,93,€,sushi
52.4941458312962,13.3312158286572,4,116,€€,sushi
52.4919,13.33125,4.5,28,€€,musicvenues
52.48207,13.3171,3.5,39,€€,italian
52.45591,13.32401,4,18,€€,korean
52.4569419,13.3206357,4,23,,localflavor
52.471453,13.3203008,3.5,30,€€€,bakeries
52.4550872,13.3249635,4.5,17,€€€,french
52.455,13.3275,4,34,€€,pizza
52.466407,13.33034,5,8,€,wine_bars
52.47851,13.32466,4.5,13,€€,greek
52.454983,13.327164,4.5,11,€€,pubs
52.46,13.3123,4.5,12,€€,chinese
52.4688,13.3322,4.5,15,€,turkish
52.475417,13.323905,4,29,€€,bakeries
52.4674,13.3316,4,22,€,mediterranean
52.46335,13.33878,4,22,€€,italian
52.461085,13.321044,4,16,€€€,italian
52.496,13.32791,4,53,€,chinese
52.472764,13.321791,4,14,€€€,italian
52.50125,13.32489,4,88,€,pizza
52.4672857,13.331047,4,14,€€,vietnamese
52.47908,13.33318,4,23,€,indpak
52.4865953,13.3233281,4.5,20,€,vietnamese
52.48777,13.32152,4,65,€€,spanish
52.4734,13.3223,4.5,13,€€€,divebars
52.466051985173,13.3092978546783,4,17,€€,german
52.47133,13.33824,4,22,€€,indpak
52.4719,13.3361,4,21,€€,lounges
52.49456,13.32352,4.5,40,€,japanese
52.46834,13.3217199,4.5,6,€€,bistros
52.4742,13.3223,5,8,€€,italian
52.4594218,13.3043711,3.5,28,€€€,modern_european
52.4814,13.3189,4,17,€€,lebanese
52.454906,13.324363,4.5,12,€,desserts
52.4863411,13.3242357,4.5,16,€€,serbocroatian
52.48816,13.33783,4.5,19,€,greek
52.49461,13.30447,4.5,29,€€,pizza
