,latitude,longitude,price,categories,otherneigbours,own_category,vietnameseneigbours,sushineigbours,pubsneigbours,pizzaneigbours,kebabneigbours,italianneigbours,icecreamneigbours,hotdogsneigbours,germanneigbours,divebarsneigbours,cocktailbarsneigbours,cafesneigbours,burgersneigbours,barsneigbours,bakeriesneigbours,distanceToMitte
0,52.4585,13.3226,2.0,panasian,75,168,0,7,3,3,1,7,5,82,0,1,1,82,0,5,7,9421
1,52.476722245696706,13.3264443646686,2.0,cafes,66,154,1,0,0,3,0,8,2,72,4,2,0,72,0,4,6,7751
2,52.506451678823296,13.3259152248507,2.0,korean,170,342,4,8,2,2,0,24,1,171,19,0,6,171,3,19,1,6024
3,52.506237136013496,13.333277734958198,2.0,panasian,133,271,1,3,5,0,0,12,1,135,15,0,5,135,1,10,2,5563
4,52.48171,13.330010000000001,2.0,restaurants,73,159,5,3,2,3,0,7,2,79,3,1,0,79,1,3,6,7199
5,52.4473361007366,13.3420425653458,1.0,pizza,8,20,0,0,0,0,1,1,1,10,0,0,1,10,0,1,2,9730
6,52.4668,13.3076,2.0,cafes,11,23,0,0,1,0,0,2,1,11,2,1,0,11,0,1,0,9441
7,52.5033768053628,13.3279362760272,2.0,coffee,217,443,2,9,6,3,2,22,1,219,27,2,6,219,2,17,2,6019
8,52.466051985172996,13.309297854678302,2.0,german,12,26,1,0,1,0,0,2,1,12,1,1,0,12,0,1,0,9414
9,52.46702,13.325339999999999,2.0,cafes,92,215,5,5,1,5,1,7,2,102,2,4,1,102,3,8,10,8577
10,52.4707,13.3306,2.0,korean,110,231,5,6,0,8,1,12,4,114,2,2,1,114,3,6,4,8034
11,52.489169999999994,13.338920000000002,2.0,bavarian,106,227,9,4,1,2,4,12,4,112,6,0,0,112,0,4,6,6200
12,52.4910649881271,13.3152298629284,3.0,pizza,95,212,6,1,0,7,6,6,1,99,3,5,3,99,1,11,4,7406
13,52.4986,13.30773,3.0,japanese,235,516,10,8,4,4,3,32,2,257,12,0,12,257,0,30,22,7490
14,52.50634,13.30962,1.0,waffles,344,724,17,7,3,9,2,56,10,362,16,3,8,362,9,37,18,7080
15,52.455318500000004,13.324930199999999,1.0,italian,55,126,0,6,1,3,1,4,4,59,1,1,1,59,0,6,4,9604
16,52.4884948579701,13.341256965705199,2.0,delicatessen,81,173,8,4,1,4,2,8,1,86,4,0,0,86,0,2,5,6126
17,52.5022719528763,13.3167114028177,2.0,cafes,319,693,16,15,5,6,0,52,5,338,21,0,7,338,4,30,19,6772
18,52.5,13.3051,2.0,chinese,266,585,10,6,4,6,0,39,2,287,14,0,12,287,0,34,21,7598
19,52.487952,13.317788,3.0,japanese,102,220,8,4,4,8,3,9,1,109,4,5,0,109,2,8,7,7440
20,52.485,13.3446,2.0,swabian,58,124,6,2,2,3,3,4,1,62,3,0,0,62,0,1,4,6224
21,52.498957736883604,13.342529386282001,3.0,danceclubs,155,333,5,1,5,2,5,18,4,166,17,6,4,166,1,25,11,5364
22,52.4941928570109,13.3451057075295,2.0,gaybars,94,215,6,0,1,1,0,18,4,103,7,2,3,103,1,18,9,5523
23,52.50969,13.30551,2.0,icecream,248,534,17,3,1,6,3,35,8,259,9,3,2,259,9,18,11,7255
24,52.50336,13.31685,3.0,italian,326,790,18,13,4,7,0,48,6,347,21,1,7,347,6,31,21,6720
25,52.497611,13.340351,2.0,italian,159,376,5,3,4,2,5,18,6,170,16,6,4,170,1,27,11,5570
26,52.4859948,13.3263212,3.0,bakeries,103,230,7,6,4,5,3,10,1,111,4,5,0,111,2,7,8,7091
27,52.49332629999999,13.332467300000001,2.0,bars,148,329,9,10,0,0,6,15,3,158,11,3,1,158,0,10,10,6278
28,52.500839899999995,13.29635,1.0,panasian,180,379,6,3,3,2,2,31,0,187,6,0,4,187,2,16,7,8125
29,52.513090000000005,13.29646,1.0,kebab,86,186,8,2,2,0,3,11,4,90,8,0,0,90,2,3,4,7784
30,52.49821,13.2955,2.0,cafes,107,236,1,3,1,3,0,16,0,114,9,2,2,114,0,12,7,8279
31,52.5031,13.3173,1.0,beer_and_wine,321,676,18,15,4,6,0,50,6,338,21,0,7,338,4,30,17,6701
32,52.5065941674195,13.296922194477501,1.0,vietnamese,183,406,11,0,3,6,5,25,5,192,6,2,2,192,3,16,9,7903
33,52.504657900000005,13.3369978,2.0,german,170,372,2,2,4,2,5,14,3,172,14,5,7,172,1,25,2,5398
